title,video_id,views,likes,comment_count,published_at,data,hora
"C6 Investor Talk: Greenbay busca retorno evitando perdas para o cotista, diz CEO",xn-N87X4GYI,2258,151,22,2021-06-08 20:59:07+00:00,2021-06-08,20:59:07
FUNDOS DE INVESTIMENTO: O QUE VOCÊ PRECISA SABER ANTES DE COMEÇAR,RlOAurO6hiQ,27983,1686,72,2021-06-14 23:13:52+00:00,2021-06-14,23:13:52
Como pedir portabilidade de chave Pix para o C6 Bank l Passo a Passo C6,d-iceVubQeo,12913,240,56,2021-06-18 20:27:35+00:00,2021-06-18,20:27:35
"COME-COTAS, IR E IOF: TRIBUTAÇÃO DE FUNDOS DE INVESTIMENTO",FzxGljWLPXw,19264,936,54,2021-06-21 15:27:40+00:00,2021-06-21,15:27:40
C6 Bank: Conta C6 Empresas,d9zCxuLDoa0,2138922,727,40,2021-06-21 22:30:13+00:00,2021-06-21,22:30:13
Como cadastrar chaves Pix no C6 Bank (para Pessoa Física) l Passo a Passo C6,74OSpwmgJCo,159118,2201,310,2021-06-22 22:16:18+00:00,2021-06-22,22:16:18
Como cadastrar chaves Pix no C6 Bank (para MEI) l Passo a Passo C6,SL0vMAoe8Kg,6568,93,12,2021-06-23 23:20:04+00:00,2021-06-23,23:20:04
Veja como fazer pagamentos via QR Code usando Pix l Passo a Passo C6,4zr_tgsSv4U,41512,342,59,2021-06-25 21:13:44+00:00,2021-06-25,21:13:44
Pix: saiba como fazer transferências no app l Passo a Passo C6,pYYW_iNxAo8,74287,774,522,2021-06-26 17:00:23+00:00,2021-06-26,17:00:23
POR QUE PAGAR O GESTOR DE UM FUNDO SE POSSO INVESTIR SOZINHO?,qLaWoUflKGw,19462,936,44,2021-06-28 22:24:44+00:00,2021-06-28,22:24:44
Como fazer transferências do C6 Bank para outros bancos l Passo a Passo C6,bnIaUC5ToVw,9855,165,13,2021-06-30 21:58:05+00:00,2021-06-30,21:58:05
C6 Pay Link: venda on-line e receba com segurança e sem complicação,4xyRUnONreQ,9036,150,30,2021-07-01 14:47:23+00:00,2021-07-01,14:47:23
Como fazer transferências entre contas do C6 Bank l Passo a Passo C6,p6qFLxV7ehU,3793,80,16,2021-07-01 22:45:31+00:00,2021-07-01,22:45:31
GESTORAS DE FUNDOS: QUAIS AS PRINCIPAIS ESTRATÉGIAS DE INVESTIMENTO?,Y9SisiteoHc,22011,990,103,2021-07-05 22:12:56+00:00,2021-07-05,22:12:56
Como desbloquear o cartão da Conta Global l Passo a Passo C6,H1NWH_py6DA,4529,111,29,2021-07-07 13:11:58+00:00,2021-07-07,13:11:58
COMO ALTERAR O VENCIMENTO DA SUA FATURA | PASSO A PASSO C6,RDsrhqFGnCk,10193,124,50,2021-07-08 19:48:23+00:00,2021-07-08,19:48:23
O QUE MUITA GENTE ESQUECE NA HORA DE INVESTIR EM FUNDOS: REGRAS DE APLICAÇÃO E RESGATE,eFk4ZxrZ8qQ,47111,1792,176,2021-07-12 23:19:05+00:00,2021-07-12,23:19:05
COMO INVESTIR EM CDBs DO C6 BANK | PASSO A PASSO C6,RmYg7NFM9Ig,1150,118,28,2021-07-14 19:09:47+00:00,2021-07-14,19:09:47
COMO INVESTIR EM CDBs DO C6 BANK PELA 1ª VEZ | PASSO A PASSO C6,7YSY3th8h_o,4863,157,34,2021-07-15 19:00:06+00:00,2021-07-15,19:00:06
Veja como fazer a Avaliação de Perfil do Investidor do C6 Bank l Passo a Passo C6,btloHWUMhBU,2592,92,32,2021-07-16 19:00:09+00:00,2021-07-16,19:00:09
CHEGARAM AS NOVAS CORES DE CARTÃO DO C6 BANK!,3j35aYs7jhY,14455546,2695,420,2021-07-19 14:52:04+00:00,2021-07-19,14:52:04
COMO ESCOLHER UM FUNDO DE INVESTIMENTO? 3 ETAPAS PARA ESCOLHER,vFH7snk12TI,25280,1016,125,2021-07-20 17:00:12+00:00,2021-07-20,17:00:12
O QUE SÃO FUNDOS ESG E POR QUE INVESTIR,TMYePni2OLQ,20639,690,59,2021-07-26 23:17:22+00:00,2021-07-26,23:17:22
C6 Investor Talk: sócia da IP Capital Partners fala sobre fundos de ações e multimercado,ox5Rgvb5qF0,3421,253,39,2021-07-27 22:22:22+00:00,2021-07-27,22:22:22
COMO ALTERAR SEU CARTÃO PARA A CATEGORIA SEM ANUIDADE | PASSO A PASSO C6,UGAD8UtbiQI,4860,205,46,2021-07-28 22:34:51+00:00,2021-07-28,22:34:51
COMO DESBLOQUEAR SEU CARTÃO | PASSO A PASSO C6,VD_LHxZiTwE,36255,282,99,2021-07-30 23:10:31+00:00,2021-07-30,23:10:31
FUNDOS DE AÇÕES OU INVESTIR DIRETO NA BOLSA? O QUE É MELHOR?,WRCoVo4Sdvo,19711,979,52,2021-08-03 00:15:39+00:00,2021-08-03,00:15:39
COMO PEDIR CARTÃO ADICIONAL (IPHONE) | PASSO A PASSO C6,OrxOi29WEas,3194,122,16,2021-08-04 23:02:11+00:00,2021-08-04,23:02:11
COMO ALTERAR O SEU CARTÃO PARA O C6 CARBON | PASSO A PASSO C6,uYXevnbj7_A,70837,868,221,2021-08-05 16:16:14+00:00,2021-08-05,16:16:14
COMO USAR A FUNÇÃO APROXIME E PAGUE COM O SEU CARTÃO DO C6 BANK | PASSO A PASSO C6,rQB_5um_hyw,14939,360,65,2021-08-06 22:12:03+00:00,2021-08-06,22:12:03
FIIS X IMÓVEIS: 5 VANTAGENS DE INVESTIR EM FUNDOS IMOBILIÁRIOS,ETIdizJereg,22566,1510,120,2021-08-10 00:36:43+00:00,2021-08-10,00:36:43
"C6 Investor Talk: FoF dá acesso a fundos restritos e exclusivos, diz 051 Capital",bO2Ijkh43Zg,715,96,19,2021-08-10 18:07:40+00:00,2021-08-10,18:07:40
Meetup C6 Bank:  Desmitificando a prática de SLI e SLO,LlSi5VvVe_4,1769,129,12,2021-08-10 23:22:05+00:00,2021-08-10,23:22:05
C6 BANK: 10 MILHÕES DE CLIENTES,GYfHKnijiR4,79819,6127,997,2021-08-12 14:51:21+00:00,2021-08-12,14:51:21
COMO BAIXAR SEU EXTRATO PELO APP | PASSO A PASSO C6,e8EK4RLYFLA,32487,400,210,2021-08-13 22:57:01+00:00,2021-08-13,22:57:01
FUNDOS IMOBILIÁRIOS: COMO ESCOLHER FIIs,ho0ImFjOtTE,40251,3006,127,2021-08-16 23:15:44+00:00,2021-08-16,23:15:44
C6 INVEST: A PLATAFORMA COMPLETA DE INVESTIMENTOS DO C6 BANK,rvwNz_6pAyM,45783,1015,298,2021-08-23 13:32:42+00:00,2021-08-23,13:32:42
