title,video_id,views,likes,comment_count,published_at,data,hora
Dá pra usar o débito em compras online? É seguro? | Direto ao Ponto,HaAAPh6zSEI,43023,1552,60,2020-12-16 13:00:04+00:00,2020-12-16,13:00:04
Falar português te faz gastar mais dinheiro? | Semanada - Ep.4,Ib1Byo_SWS8,4916,626,28,2020-12-21 11:00:05+00:00,2020-12-21,11:00:05
A Regra 50-15-35 pode te ajudar a guardar dinheiro | Direto ao Ponto,u7g9uUdadzk,18119,2496,143,2020-12-23 13:00:15+00:00,2020-12-23,13:00:15
7 fatos que marcaram as finanças em 2020 | Retrospectiva Direto ao Ponto,JKyftfvQuB0,5651,634,55,2020-12-30 13:00:04+00:00,2020-12-30,13:00:04
Por que suas metas de Ano-Novo não dão certo? | Semanada - Ep.5,lZaxpqs31Mw,6899,862,47,2021-01-04 11:00:14+00:00,2021-01-04,11:00:14
6 Metas Financeiras para 2021 | Direto ao Ponto,HU4yakh6ZIQ,9660,1264,46,2021-01-06 13:09:45+00:00,2021-01-06,13:09:45
A Bolsa de Valores é onde todo mundo quer estar? | Semanada - Ep.6,_y14Ph9BXjg,5561,737,41,2021-01-11 11:00:27+00:00,2021-01-11,11:00:27
Não seja fisgado por este golpe! Entenda o que é phishing | Direto ao Ponto,zLYdbPtqUoU,14252,1582,75,2021-01-13 13:00:14+00:00,2021-01-13,13:00:14
Como era a vida com a Selic acima de 14%? | Semanada - Ep.7,i67f9x6_Pww,6740,963,38,2021-01-18 11:00:10+00:00,2021-01-18,11:00:10
Qual o melhor dia de compra no cartão de crédito? | Direto ao Ponto,MIE45dQnbgo,176253,9565,333,2021-01-20 13:00:05+00:00,2021-01-20,13:00:05
"Calendário financeiro, seu melhor amigo para 2021| Semanada - Ep.8",l0xO2VLVpms,5838,828,62,2021-01-25 11:00:13+00:00,2021-01-25,11:00:13
"Seguro de vida sem tabu: o que é, como funciona, o que cobre | Direto ao Ponto",2-48BUJ-rH4,11964,876,109,2021-01-27 13:00:00+00:00,2021-01-27,13:00:00
Nubank atrai US$ 400 milhões em nova rodada de investimentos em 2021 | Novidades Nu,xZgjr6FPKAM,50778,1889,341,2021-01-28 14:00:02+00:00,2021-01-28,14:00:02
